prompt,context,gender,age,occupation,target_mid,target_title
"User profile (audit only):
- gender: F
- age: 25-34
- occupation: sales/marketing

Watch history:
1. Circle of Friends (1995)
2. Color Purple, The (1985)
3. Dances with Wolves (1990)
4. Secret of Roan Inish, The (1994)
5. Jurassic Park (1993)
6. Mask of Zorro, The (1998)
7. Con Air (1997)
8. GoldenEye (1995)
9. Six Days Seven Nights (1998)
10. Batman Returns (1992)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Circle of Friends (1995)
2. Color Purple, The (1985)
3. Dances with Wolves (1990)
4. Secret of Roan Inish, The (1994)
5. Jurassic Park (1993)
6. Mask of Zorro, The (1998)
7. Con Air (1997)
8. GoldenEye (1995)
9. Six Days Seven Nights (1998)
10. Batman Returns (1992)",F,25-34,sales/marketing,1917,Armageddon (1998)
"User profile (audit only):
- gender: M
- age: 35-44
- occupation: other

Watch history:
1. Demolition Man (1993)
2. Dune (1984)
3. Escape from the Planet of the Apes (1971)
4. It Came from Beneath the Sea (1955)
5. Hollow Man (2000)
6. Alligator (1980)
7. Mars Attacks! (1996)
8. Independence Day (ID4) (1996)
9. Conquest of the Planet of the Apes (1972)
10. King Kong vs. Godzilla (Kingukongu tai Gojira) (1962)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Demolition Man (1993)
2. Dune (1984)
3. Escape from the Planet of the Apes (1971)
4. It Came from Beneath the Sea (1955)
5. Hollow Man (2000)
6. Alligator (1980)
7. Mars Attacks! (1996)
8. Independence Day (ID4) (1996)
9. Conquest of the Planet of the Apes (1972)
10. King Kong vs. Godzilla (Kingukongu tai Gojira) (1962)",M,35-44,other,788,"Nutty Professor, The (1996)"
"User profile (audit only):
- gender: M
- age: 35-44
- occupation: scientist

Watch history:
1. Star Wars: Episode IV - A New Hope (1977)
2. Star Wars: Episode V - The Empire Strikes Back (1980)
3. Brazil (1985)
4. Delicatessen (1991)
5. Alien (1979)
6. Time Bandits (1981)
7. E.T. the Extra-Terrestrial (1982)
8. Terminator, The (1984)
9. Back to the Future (1985)
10. Twelve Monkeys (1995)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Star Wars: Episode IV - A New Hope (1977)
2. Star Wars: Episode V - The Empire Strikes Back (1980)
3. Brazil (1985)
4. Delicatessen (1991)
5. Alien (1979)
6. Time Bandits (1981)
7. E.T. the Extra-Terrestrial (1982)
8. Terminator, The (1984)
9. Back to the Future (1985)
10. Twelve Monkeys (1995)",M,35-44,scientist,2232,Cube (1997)
"User profile (audit only):
- gender: F
- age: 18-24
- occupation: academic/educator

Watch history:
1. Back to the Future (1985)
2. Dumb & Dumber (1994)
3. Glory (1989)
4. Casablanca (1942)
5. African Queen, The (1951)
6. Lady and the Tramp (1955)
7. Singin' in the Rain (1952)
8. Shakespeare in Love (1998)
9. Cyrano de Bergerac (1990)
10. Dead Again (1991)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Back to the Future (1985)
2. Dumb & Dumber (1994)
3. Glory (1989)
4. Casablanca (1942)
5. African Queen, The (1951)
6. Lady and the Tramp (1955)
7. Singin' in the Rain (1952)
8. Shakespeare in Love (1998)
9. Cyrano de Bergerac (1990)
10. Dead Again (1991)",F,18-24,academic/educator,2020,Dangerous Liaisons (1988)
"User profile (audit only):
- gender: M
- age: 50-55
- occupation: other

Watch history:
1. NeverEnding Story, The (1984)
2. Benji (1974)
3. Tron (1982)
4. Return to Oz (1985)
5. Escape to Witch Mountain (1975)
6. Golden Child, The (1986)
7. Jewel of the Nile, The (1985)
8. Star Trek: The Motion Picture (1979)
9. Darby O'Gill and the Little People (1959)
10. Pete's Dragon (1977)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. NeverEnding Story, The (1984)
2. Benji (1974)
3. Tron (1982)
4. Return to Oz (1985)
5. Escape to Witch Mountain (1975)
6. Golden Child, The (1986)
7. Jewel of the Nile, The (1985)
8. Star Trek: The Motion Picture (1979)
9. Darby O'Gill and the Little People (1959)
10. Pete's Dragon (1977)",M,50-55,other,1276,Cool Hand Luke (1967)
"User profile (audit only):
- gender: F
- age: 25-34
- occupation: clerical/admin

Watch history:
1. Horse Whisperer, The (1998)
2. Prince of Tides, The (1991)
3. Wolf (1994)
4. Walk in the Clouds, A (1995)
5. Light of Day (1987)
6. Powder (1995)
7. Lethal Weapon 3 (1992)
8. Messenger: The Story of Joan of Arc, The (1999)
9. Footloose (1984)
10. Morning After, The (1986)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Horse Whisperer, The (1998)
2. Prince of Tides, The (1991)
3. Wolf (1994)
4. Walk in the Clouds, A (1995)
5. Light of Day (1987)
6. Powder (1995)
7. Lethal Weapon 3 (1992)
8. Messenger: The Story of Joan of Arc, The (1999)
9. Footloose (1984)
10. Morning After, The (1986)",F,25-34,clerical/admin,3714,Clara's Heart (1988)
"User profile (audit only):
- gender: M
- age: 25-34
- occupation: college/grad student

Watch history:
1. Searchers, The (1956)
2. Yojimbo (1961)
3. Little Big Man (1970)
4. Blazing Saddles (1974)
5. Wild Bunch, The (1969)
6. Cat Ballou (1965)
7. Butch Cassidy and the Sundance Kid (1969)
8. Hud (1963)
9. Shane (1953)
10. For a Few Dollars More (1965)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Searchers, The (1956)
2. Yojimbo (1961)
3. Little Big Man (1970)
4. Blazing Saddles (1974)
5. Wild Bunch, The (1969)
6. Cat Ballou (1965)
7. Butch Cassidy and the Sundance Kid (1969)
8. Hud (1963)
9. Shane (1953)
10. For a Few Dollars More (1965)",M,25-34,college/grad student,3487,"Dorado, El (1967)"
"User profile (audit only):
- gender: M
- age: 25-34
- occupation: other

Watch history:
1. Assassins (1995)
2. Peacemaker, The (1997)
3. Devil's Own, The (1997)
4. Fan, The (1996)
5. Jennifer 8 (1992)
6. Stigmata (1999)
7. Bone Collector, The (1999)
8. Net, The (1995)
9. Jade (1995)
10. Poison Ivy (1992)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Assassins (1995)
2. Peacemaker, The (1997)
3. Devil's Own, The (1997)
4. Fan, The (1996)
5. Jennifer 8 (1992)
6. Stigmata (1999)
7. Bone Collector, The (1999)
8. Net, The (1995)
9. Jade (1995)
10. Poison Ivy (1992)",M,25-34,other,540,Sliver (1993)
"User profile (audit only):
- gender: M
- age: 35-44
- occupation: self-employed

Watch history:
1. Fugitive, The (1993)
2. Boat, The (Das Boot) (1981)
3. Terminator 2: Judgment Day (1991)
4. Total Recall (1990)
5. Mariachi, El (1992)
6. Braveheart (1995)
7. Ronin (1998)
8. Saving Private Ryan (1998)
9. Hunt for Red October, The (1990)
10. Heat (1995)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Fugitive, The (1993)
2. Boat, The (Das Boot) (1981)
3. Terminator 2: Judgment Day (1991)
4. Total Recall (1990)
5. Mariachi, El (1992)
6. Braveheart (1995)
7. Ronin (1998)
8. Saving Private Ryan (1998)
9. Hunt for Red October, The (1990)
10. Heat (1995)",M,35-44,self-employed,1370,Die Hard 2 (1990)
"User profile (audit only):
- gender: F
- age: 25-34
- occupation: technician/engineer

Watch history:
1. Mickey Blue Eyes (1999)
2. Batman Returns (1992)
3. Batman Forever (1995)
4. Romy and Michele's High School Reunion (1997)
5. Golden Child, The (1986)
6. That Darn Cat! (1965)
7. Blame It on Rio (1984)
8. Casablanca (1942)
9. Gone with the Wind (1939)
10. Ladyhawke (1985)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Mickey Blue Eyes (1999)
2. Batman Returns (1992)
3. Batman Forever (1995)
4. Romy and Michele's High School Reunion (1997)
5. Golden Child, The (1986)
6. That Darn Cat! (1965)
7. Blame It on Rio (1984)
8. Casablanca (1942)
9. Gone with the Wind (1939)
10. Ladyhawke (1985)",F,25-34,technician/engineer,25,Leaving Las Vegas (1995)
"User profile (audit only):
- gender: F
- age: 25-34
- occupation: college/grad student

Watch history:
1. Basic Instinct (1992)
2. Perfect Murder, A (1998)
3. Flesh and Bone (1993)
4. I Know What You Did Last Summer (1997)
5. Scream 3 (2000)
6. Boxing Helena (1993)
7. I Still Know What You Did Last Summer (1998)
8. Gone with the Wind (1939)
9. Crying Game, The (1992)
10. Say Anything... (1989)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Basic Instinct (1992)
2. Perfect Murder, A (1998)
3. Flesh and Bone (1993)
4. I Know What You Did Last Summer (1997)
5. Scream 3 (2000)
6. Boxing Helena (1993)
7. I Still Know What You Did Last Summer (1998)
8. Gone with the Wind (1939)
9. Crying Game, The (1992)
10. Say Anything... (1989)",F,25-34,college/grad student,25,Leaving Las Vegas (1995)
"User profile (audit only):
- gender: M
- age: 25-34
- occupation: technician/engineer

Watch history:
1. Jurassic Park (1993)
2. Star Trek: First Contact (1996)
3. Star Trek IV: The Voyage Home (1986)
4. Galaxy Quest (1999)
5. Men in Black (1997)
6. Dark City (1998)
7. Fly, The (1986)
8. Dark Crystal, The (1982)
9. Star Trek: Generations (1994)
10. Soylent Green (1973)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Jurassic Park (1993)
2. Star Trek: First Contact (1996)
3. Star Trek IV: The Voyage Home (1986)
4. Galaxy Quest (1999)
5. Men in Black (1997)
6. Dark City (1998)
7. Fly, The (1986)
8. Dark Crystal, The (1982)
9. Star Trek: Generations (1994)
10. Soylent Green (1973)",M,25-34,technician/engineer,1372,Star Trek VI: The Undiscovered Country (1991)
"User profile (audit only):
- gender: M
- age: 18-24
- occupation: programmer

Watch history:
1. Albino Alligator (1996)
2. Stigmata (1999)
3. Teaching Mrs. Tingle (1999)
4. Net, The (1995)
5. Mary Reilly (1996)
6. Diabolique (1996)
7. Gladiator (2000)
8. Whole Nine Yards, The (2000)
9. Gone in 60 Seconds (2000)
10. Apocalypse Now (1979)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Albino Alligator (1996)
2. Stigmata (1999)
3. Teaching Mrs. Tingle (1999)
4. Net, The (1995)
5. Mary Reilly (1996)
6. Diabolique (1996)
7. Gladiator (2000)
8. Whole Nine Yards, The (2000)
9. Gone in 60 Seconds (2000)
10. Apocalypse Now (1979)",M,18-24,programmer,588,Aladdin (1992)
"User profile (audit only):
- gender: F
- age: 45-49
- occupation: academic/educator

Watch history:
1. Dirty Dancing (1987)
2. Evita (1996)
3. Hunchback of Notre Dame, The (1996)
4. Bedknobs and Broomsticks (1971)
5. Pocahontas (1995)
6. White Christmas (1954)
7. Blues Brothers 2000 (1998)
8. Pete's Dragon (1977)
9. Return of Jafar, The (1993)
10. Cats Don't Dance (1997)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Dirty Dancing (1987)
2. Evita (1996)
3. Hunchback of Notre Dame, The (1996)
4. Bedknobs and Broomsticks (1971)
5. Pocahontas (1995)
6. White Christmas (1954)
7. Blues Brothers 2000 (1998)
8. Pete's Dragon (1977)
9. Return of Jafar, The (1993)
10. Cats Don't Dance (1997)",F,45-49,academic/educator,631,All Dogs Go to Heaven 2 (1996)
"User profile (audit only):
- gender: M
- age: Under 18
- occupation: K-12 student

Watch history:
1. Ace Ventura: Pet Detective (1994)
2. Superstar (1999)
3. White Men Can't Jump (1992)
4. Very Brady Sequel, A (1996)
5. Birdcage, The (1996)
6. Maverick (1994)
7. Kingpin (1996)
8. Honeymoon in Vegas (1992)
9. Addams Family Values (1993)
10. Tin Cup (1996)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Ace Ventura: Pet Detective (1994)
2. Superstar (1999)
3. White Men Can't Jump (1992)
4. Very Brady Sequel, A (1996)
5. Birdcage, The (1996)
6. Maverick (1994)
7. Kingpin (1996)
8. Honeymoon in Vegas (1992)
9. Addams Family Values (1993)
10. Tin Cup (1996)",M,Under 18,K-12 student,2195,Dirty Work (1998)
"User profile (audit only):
- gender: F
- age: 18-24
- occupation: sales/marketing

Watch history:
1. World of Apu, The (Apur Sansar) (1959)
2. 8 1/2 (1963)
3. Little Shop of Horrors, The (1960)
4. Haunted World of Edward D. Wood Jr., The (1995)
5. Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954)
6. Duck Soup (1933)
7. Double Indemnity (1944)
8. Wallace & Gromit: The Best of Aardman Animation (1996)
9. Godfather, The (1972)
10. Jules and Jim (Jules et Jim) (1961)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. World of Apu, The (Apur Sansar) (1959)
2. 8 1/2 (1963)
3. Little Shop of Horrors, The (1960)
4. Haunted World of Edward D. Wood Jr., The (1995)
5. Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954)
6. Duck Soup (1933)
7. Double Indemnity (1944)
8. Wallace & Gromit: The Best of Aardman Animation (1996)
9. Godfather, The (1972)
10. Jules and Jim (Jules et Jim) (1961)",F,18-24,sales/marketing,2010,Metropolis (1926)
"User profile (audit only):
- gender: M
- age: 25-34
- occupation: academic/educator

Watch history:
1. Twister (1996)
2. Under Siege (1992)
3. Saint, The (1997)
4. Money Talks (1997)
5. Batman Forever (1995)
6. I Love Trouble (1994)
7. Toys (1992)
8. Under Siege 2: Dark Territory (1995)
9. Wrongfully Accused (1998)
10. Street Fighter (1994)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Twister (1996)
2. Under Siege (1992)
3. Saint, The (1997)
4. Money Talks (1997)
5. Batman Forever (1995)
6. I Love Trouble (1994)
7. Toys (1992)
8. Under Siege 2: Dark Territory (1995)
9. Wrongfully Accused (1998)
10. Street Fighter (1994)",M,25-34,academic/educator,1200,Aliens (1986)
"User profile (audit only):
- gender: F
- age: 50-55
- occupation: lawyer

Watch history:
1. Waiting for Guffman (1996)
2. Bean (1997)
3. Godfather, The (1972)
4. Pretty Woman (1990)
5. Midnight Cowboy (1969)
6. Charlotte's Web (1973)
7. Brazil (1985)
8. Red Rock West (1992)
9. Stripes (1981)
10. Bull Durham (1988)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Waiting for Guffman (1996)
2. Bean (1997)
3. Godfather, The (1972)
4. Pretty Woman (1990)
5. Midnight Cowboy (1969)
6. Charlotte's Web (1973)
7. Brazil (1985)
8. Red Rock West (1992)
9. Stripes (1981)
10. Bull Durham (1988)",F,50-55,lawyer,1950,In the Heat of the Night (1967)
"User profile (audit only):
- gender: M
- age: 45-49
- occupation: doctor/health care

Watch history:
1. Happy Gilmore (1996)
2. Grumpy Old Men (1993)
3. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
4. Lawrence of Arabia (1962)
5. Manchurian Candidate, The (1962)
6. Inherit the Wind (1960)
7. Midnight Cowboy (1969)
8. Hud (1963)
9. Producers, The (1968)
10. Graduate, The (1967)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Happy Gilmore (1996)
2. Grumpy Old Men (1993)
3. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
4. Lawrence of Arabia (1962)
5. Manchurian Candidate, The (1962)
6. Inherit the Wind (1960)
7. Midnight Cowboy (1969)
8. Hud (1963)
9. Producers, The (1968)
10. Graduate, The (1967)",M,45-49,doctor/health care,3461,Lord of the Flies (1963)
"User profile (audit only):
- gender: M
- age: 18-24
- occupation: customer service

Watch history:
1. Three Caballeros, The (1945)
2. Beavis and Butt-head Do America (1996)
3. Hercules (1997)
4. Rescuers, The (1977)
5. Small Soldiers (1998)
6. Pete's Dragon (1977)
7. All Dogs Go to Heaven (1989)
8. Pokémon: The First Movie (1998)
9. American Pie (1999)
10. 10 Things I Hate About You (1999)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Three Caballeros, The (1945)
2. Beavis and Butt-head Do America (1996)
3. Hercules (1997)
4. Rescuers, The (1977)
5. Small Soldiers (1998)
6. Pete's Dragon (1977)
7. All Dogs Go to Heaven (1989)
8. Pokémon: The First Movie (1998)
9. American Pie (1999)
10. 10 Things I Hate About You (1999)",M,18-24,customer service,2826,"13th Warrior, The (1999)"
"User profile (audit only):
- gender: M
- age: 18-24
- occupation: other

Watch history:
1. Lethal Weapon 2 (1989)
2. Air Force One (1997)
3. Backdraft (1991)
4. Man with the Golden Gun, The (1974)
5. Willow (1988)
6. Arachnophobia (1990)
7. Siege, The (1998)
8. Independence Day (ID4) (1996)
9. Tomorrow Never Dies (1997)
10. Under Siege (1992)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Lethal Weapon 2 (1989)
2. Air Force One (1997)
3. Backdraft (1991)
4. Man with the Golden Gun, The (1974)
5. Willow (1988)
6. Arachnophobia (1990)
7. Siege, The (1998)
8. Independence Day (ID4) (1996)
9. Tomorrow Never Dies (1997)
10. Under Siege (1992)",M,18-24,other,1597,Conspiracy Theory (1997)
"User profile (audit only):
- gender: M
- age: 18-24
- occupation: college/grad student

Watch history:
1. Braveheart (1995)
2. Truman Show, The (1998)
3. Casino (1995)
4. Rushmore (1998)
5. Clockwork Orange, A (1971)
6. Game, The (1997)
7. For Love of the Game (1999)
8. Crying Game, The (1992)
9. Patriot Games (1992)
10. Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Braveheart (1995)
2. Truman Show, The (1998)
3. Casino (1995)
4. Rushmore (1998)
5. Clockwork Orange, A (1971)
6. Game, The (1997)
7. For Love of the Game (1999)
8. Crying Game, The (1992)
9. Patriot Games (1992)
10. Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954)",M,18-24,college/grad student,3949,Requiem for a Dream (2000)
"User profile (audit only):
- gender: M
- age: 50-55
- occupation: lawyer

Watch history:
1. Crying Game, The (1992)
2. Dances with Wolves (1990)
3. Dave (1993)
4. Dead Again (1991)
5. Days of Heaven (1978)
6. Dead Man Walking (1995)
7. Dead Poets Society (1989)
8. Dead Man (1995)
9. Decline of Western Civilization, The (1981)
10. Deliverance (1972)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Crying Game, The (1992)
2. Dances with Wolves (1990)
3. Dave (1993)
4. Dead Again (1991)
5. Days of Heaven (1978)
6. Dead Man Walking (1995)
7. Dead Poets Society (1989)
8. Dead Man (1995)
9. Decline of Western Civilization, The (1981)
10. Deliverance (1972)",M,50-55,lawyer,3358,Defending Your Life (1991)
"User profile (audit only):
- gender: M
- age: 25-34
- occupation: executive/managerial

Watch history:
1. African Queen, The (1951)
2. Breaker Morant (1980)
3. Schindler's List (1993)
4. Last Emperor, The (1987)
5. Bridge on the River Kwai, The (1957)
6. Killing Fields, The (1984)
7. Crying Game, The (1992)
8. Gone with the Wind (1939)
9. M*A*S*H (1970)
10. Apocalypse Now (1979)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. African Queen, The (1951)
2. Breaker Morant (1980)
3. Schindler's List (1993)
4. Last Emperor, The (1987)
5. Bridge on the River Kwai, The (1957)
6. Killing Fields, The (1984)
7. Crying Game, The (1992)
8. Gone with the Wind (1939)
9. M*A*S*H (1970)
10. Apocalypse Now (1979)",M,25-34,executive/managerial,1224,Henry V (1989)
"User profile (audit only):
- gender: F
- age: Under 18
- occupation: other

Watch history:
1. First Wives Club, The (1996)
2. Home Alone (1990)
3. Coneheads (1993)
4. Family Plot (1976)
5. Weird Science (1985)
6. Rocket Man (1997)
7. Muse, The (1999)
8. Popeye (1980)
9. Porky's (1981)
10. Golden Child, The (1986)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. First Wives Club, The (1996)
2. Home Alone (1990)
3. Coneheads (1993)
4. Family Plot (1976)
5. Weird Science (1985)
6. Rocket Man (1997)
7. Muse, The (1999)
8. Popeye (1980)
9. Porky's (1981)
10. Golden Child, The (1986)",F,Under 18,other,2468,Jumpin' Jack Flash (1986)
"User profile (audit only):
- gender: M
- age: Under 18
- occupation: other

Watch history:
1. Grand Illusion (Grande illusion, La) (1937)
2. Henry V (1989)
3. Paths of Glory (1957)
4. Mephisto (1981)
5. Bridge on the River Kwai, The (1957)
6. Duck Soup (1933)
7. From Here to Eternity (1953)
8. Three Kings (1999)
9. Doctor Zhivago (1965)
10. Spanish Prisoner, The (1997)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Grand Illusion (Grande illusion, La) (1937)
2. Henry V (1989)
3. Paths of Glory (1957)
4. Mephisto (1981)
5. Bridge on the River Kwai, The (1957)
6. Duck Soup (1933)
7. From Here to Eternity (1953)
8. Three Kings (1999)
9. Doctor Zhivago (1965)
10. Spanish Prisoner, The (1997)",M,Under 18,other,482,Killing Zoe (1994)
"User profile (audit only):
- gender: M
- age: 45-49
- occupation: executive/managerial

Watch history:
1. Beetlejuice (1988)
2. Blues Brothers, The (1980)
3. Jean de Florette (1986)
4. Breakfast Club, The (1985)
5. Body Heat (1981)
6. Starman (1984)
7. Who Framed Roger Rabbit? (1988)
8. Shining, The (1980)
9. Paris, Texas (1984)
10. Never Cry Wolf (1983)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Beetlejuice (1988)
2. Blues Brothers, The (1980)
3. Jean de Florette (1986)
4. Breakfast Club, The (1985)
5. Body Heat (1981)
6. Starman (1984)
7. Who Framed Roger Rabbit? (1988)
8. Shining, The (1980)
9. Paris, Texas (1984)
10. Never Cry Wolf (1983)",M,45-49,executive/managerial,1956,Ordinary People (1980)
"User profile (audit only):
- gender: M
- age: 25-34
- occupation: other

Watch history:
1. Monty Python's Life of Brian (1979)
2. Jaws (1975)
3. M*A*S*H (1970)
4. Clockwork Orange, A (1971)
5. Blazing Saddles (1974)
6. Man with the Golden Gun, The (1974)
7. Mad Max (1979)
8. Rescuers, The (1977)
9. Outlaw Josey Wales, The (1976)
10. Deliverance (1972)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Monty Python's Life of Brian (1979)
2. Jaws (1975)
3. M*A*S*H (1970)
4. Clockwork Orange, A (1971)
5. Blazing Saddles (1974)
6. Man with the Golden Gun, The (1974)
7. Mad Max (1979)
8. Rescuers, The (1977)
9. Outlaw Josey Wales, The (1976)
10. Deliverance (1972)",M,25-34,other,1345,Carrie (1976)
"User profile (audit only):
- gender: M
- age: 25-34
- occupation: other

Watch history:
1. Erin Brockovich (2000)
2. Girlfight (2000)
3. Snow Falling on Cedars (1999)
4. Up at the Villa (2000)
5. Reindeer Games (2000)
6. Next Best Thing, The (2000)
7. Wonder Boys (2000)
8. Jesus' Son (1999)
9. Boondock Saints, The (1999)
10. Sunshine (1999)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Erin Brockovich (2000)
2. Girlfight (2000)
3. Snow Falling on Cedars (1999)
4. Up at the Villa (2000)
5. Reindeer Games (2000)
6. Next Best Thing, The (2000)
7. Wonder Boys (2000)
8. Jesus' Son (1999)
9. Boondock Saints, The (1999)
10. Sunshine (1999)",M,25-34,other,3746,Butterfly (La Lengua de las Mariposas) (2000)
"User profile (audit only):
- gender: F
- age: 18-24
- occupation: college/grad student

Watch history:
1. Lion King, The (1994)
2. Sixth Sense, The (1999)
3. Shawshank Redemption, The (1994)
4. Fargo (1996)
5. Life Is Beautiful (La Vita è bella) (1997)
6. Schindler's List (1993)
7. Saving Private Ryan (1998)
8. Silence of the Lambs, The (1991)
9. Run Lola Run (Lola rennt) (1998)
10. Terminator 2: Judgment Day (1991)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Lion King, The (1994)
2. Sixth Sense, The (1999)
3. Shawshank Redemption, The (1994)
4. Fargo (1996)
5. Life Is Beautiful (La Vita è bella) (1997)
6. Schindler's List (1993)
7. Saving Private Ryan (1998)
8. Silence of the Lambs, The (1991)
9. Run Lola Run (Lola rennt) (1998)
10. Terminator 2: Judgment Day (1991)",F,18-24,college/grad student,3006,"Insider, The (1999)"
"User profile (audit only):
- gender: M
- age: 50-55
- occupation: executive/managerial

Watch history:
1. Star Trek: Generations (1994)
2. For Your Eyes Only (1981)
3. Clear and Present Danger (1994)
4. Top Gun (1986)
5. Mission: Impossible (1996)
6. Under Siege (1992)
7. Chinatown (1974)
8. Big Sleep, The (1946)
9. Vertigo (1958)
10. Maltese Falcon, The (1941)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Star Trek: Generations (1994)
2. For Your Eyes Only (1981)
3. Clear and Present Danger (1994)
4. Top Gun (1986)
5. Mission: Impossible (1996)
6. Under Siege (1992)
7. Chinatown (1974)
8. Big Sleep, The (1946)
9. Vertigo (1958)
10. Maltese Falcon, The (1941)",M,50-55,executive/managerial,906,Gaslight (1944)
"User profile (audit only):
- gender: M
- age: 45-49
- occupation: writer

Watch history:
1. When Harry Met Sally... (1989)
2. Ferris Bueller's Day Off (1986)
3. Year of Living Dangerously (1982)
4. Die Hard (1988)
5. Sophie's Choice (1982)
6. Moonstruck (1987)
7. Terminator, The (1984)
8. American Movie (1999)
9. Erin Brockovich (2000)
10. Green Mile, The (1999)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. When Harry Met Sally... (1989)
2. Ferris Bueller's Day Off (1986)
3. Year of Living Dangerously (1982)
4. Die Hard (1988)
5. Sophie's Choice (1982)
6. Moonstruck (1987)
7. Terminator, The (1984)
8. American Movie (1999)
9. Erin Brockovich (2000)
10. Green Mile, The (1999)",M,45-49,writer,3201,Five Easy Pieces (1970)
